video,window_index,window_start_sec,window_end_sec,roi_id,roi_label,roi_kind,method,preprocess,peak_rank,peak_bpm,bpm_min,bpm_max,bpm_target,target_abs_error,range_error,within_range,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,roi_motion,color_cv,motion_coherence,bg_motion_coherence,box_motion_coherence,motion_peak_bpm,bg_motion_peak_bpm,box_motion_peak_bpm,bg_motion_global_peak_bpm,box_motion_global_peak_bpm,artifact_100bpm,quality_score,artifact_state,keypoint_source,motion_aware_score,pet_state_keypoint_score
1.mp4,0,0.0,19.933,left_eye_proxy,Left eye proxy,keypoint,green,bg_motion_residual,2,127.881,170.0,180.0,175.0,47.119,42.119,False,7.878,0.011988,0.893726,0.001284,0.630784,0.0488,0.0,0.007381,0.226654,0.0,0.0,0.0,176.66,218.408,100.195,218.408,100.195,False,2.793758,stable_low_motion,face_box_pseudo_keypoint,2.999475,3.359475
1.mp4,0,0.0,19.933,left_eye_proxy,Left eye proxy,keypoint,chrom,raw,1,111.182,170.0,180.0,175.0,63.818,58.818,False,10.236,0.016986,0.905606,0.039952,0.026037,0.0488,0.0,0.007381,0.226654,0.0,0.0,0.0,176.66,218.408,100.195,218.408,100.195,False,3.536918,stable_low_motion,face_box_pseudo_keypoint,3.492635,3.852635
1.mp4,0,0.0,19.933,left_eye_proxy,Left eye proxy,keypoint,chrom,raw,2,92.725,170.0,180.0,175.0,82.275,77.275,False,7.706,0.012788,0.905606,0.003513,0.034584,0.0488,0.0,0.007381,0.226654,0.0,0.0,0.0,176.66,218.408,100.195,218.408,100.195,False,2.896505,stable_low_motion,face_box_pseudo_keypoint,2.852222,3.212222
1.mp4,0,0.0,19.933,left_eye_proxy,Left eye proxy,keypoint,chrom,bg_motion_residual,1,96.68,170.0,180.0,175.0,78.32,73.32,False,26.807,0.022538,0.85338,0.003632,0.26603,0.0488,0.0,0.007381,0.226654,0.0,0.0,1.0,176.66,218.408,100.195,218.408,100.195,True,4.662238,100bpm_artifact,face_box_pseudo_keypoint,2.967955,2.477955
1.mp4,0,0.0,19.933,left_eye_proxy,Left eye proxy,keypoint,chrom,bg_motion_residual,2,102.832,170.0,180.0,175.0,72.168,67.168,False,19.478,0.016377,0.85338,0.012539,0.366116,0.0488,0.0,0.007381,0.226654,0.0,0.0,1.0,176.66,218.408,100.195,218.408,100.195,True,3.926342,100bpm_artifact,face_box_pseudo_keypoint,2.232059,1.742059
1.mp4,0,0.0,19.933,right_eye_proxy,Right eye proxy,keypoint,green,raw,1,101.074,170.0,180.0,175.0,73.926,68.926,False,47.047,0.037149,0.819178,0.032805,0.026124,0.0419,0.0,0.005448,0.242799,0.0,0.0,1.0,217.529,218.408,100.195,218.408,100.195,True,5.639028,100bpm_artifact,face_box_pseudo_keypoint,3.706341,3.216341
1.mp4,0,0.0,19.933,right_eye_proxy,Right eye proxy,keypoint,green,raw,2,94.482,170.0,180.0,175.0,80.518,75.518,False,24.804,0.019585,0.819178,0.017766,0.049551,0.0419,0.0,0.005448,0.242799,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,4.362933,stable_low_motion,face_box_pseudo_keypoint,4.330246,4.690246
1.mp4,0,0.0,19.933,right_eye_proxy,Right eye proxy,keypoint,green,bg_motion_residual,1,100.635,170.0,180.0,175.0,74.365,69.365,False,33.989,0.033242,0.847372,0.041292,0.061435,0.0419,0.0,0.005448,0.242799,0.0,0.0,1.0,217.529,218.408,100.195,218.408,100.195,True,5.192599,100bpm_artifact,face_box_pseudo_keypoint,3.509912,3.019912
1.mp4,0,0.0,19.933,right_eye_proxy,Right eye proxy,keypoint,green,bg_motion_residual,2,87.891,170.0,180.0,175.0,87.109,82.109,False,15.532,0.015191,0.847372,0.021991,0.13444,0.0419,0.0,0.005448,0.242799,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,3.709098,stable_low_motion,face_box_pseudo_keypoint,3.926411,4.286411
1.mp4,0,0.0,19.933,right_eye_proxy,Right eye proxy,keypoint,chrom,raw,1,98.438,170.0,180.0,175.0,76.562,71.562,False,13.78,0.021661,0.891519,0.072822,0.096932,0.0419,0.0,0.005448,0.242799,0.0,0.0,1.0,217.529,218.408,100.195,218.408,100.195,True,3.967517,100bpm_artifact,face_box_pseudo_keypoint,2.03483,1.54483
