view,video,window_index,window_start_sec,window_end_sec,region_id,region_label,region_kind,method,peak_rank,peak_bpm,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,color_cv,quality_score,trained_selector_score
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,pca,3,187.646,4.759,0.007216,0.914806,0.029869,0.079356,0.8803,0.0,0.509169,2.530445,0.14666666666666667
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,pca,4,144.58,4.621,0.007008,0.914806,0.030756,0.28664,0.8803,0.0,0.509169,2.237512,0.07333333333333333
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,ica,1,100.635,11.425,0.015925,0.889458,0.035453,0.05448,0.8803,0.0,0.509169,4.163082,0.0
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,ica,2,94.043,9.885,0.013778,0.889458,0.090728,0.06297,0.8803,0.0,0.509169,3.740188,0.02
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,ica,3,114.258,5.601,0.007807,0.889458,0.008336,0.11113,0.8803,0.0,0.509169,2.724074,0.0
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,ica,4,171.826,3.234,0.004507,0.889458,0.003129,0.704511,0.8803,0.0,0.509169,1.75573,0.16
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,green,1,97.119,7.788,0.010464,0.902814,0.087045,0.542109,0.9422,0.0,0.460238,3.544468,0.006666666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,green,2,85.254,6.591,0.008856,0.902814,0.125516,0.640563,0.9422,0.0,0.460238,3.091135,0.013333333333333334
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,green,3,139.307,5.138,0.006904,0.902814,0.00305,0.821665,0.9422,0.0,0.460238,2.498067,0.38666666666666666
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,green,4,119.531,3.166,0.004254,0.902814,0.003667,1.333441,0.9422,0.0,0.460238,1.634215,0.06666666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,g_minus_r,1,98.438,17.121,0.012799,0.884617,0.0084,0.468481,0.9422,0.0,0.460238,4.416449,0.006666666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,g_minus_r,2,85.693,11.461,0.008568,0.884617,0.054309,0.699839,0.9422,0.0,0.460238,3.59631,0.006666666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,g_minus_r,3,135.352,9.65,0.007214,0.884617,0.004395,0.831195,0.9422,0.0,0.460238,3.113428,0.20666666666666667
