roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
ear_area_left,green,250,193.9,28.97,0.0,0.0,5.26,0.017,9.75,1418.9,317.0
ear_area_left,g_minus_r,250,162.3,12.1,0.0,0.0,5.26,0.049,9.75,1418.9,317.0
ear_area_left,chrom,250,161.7,11.11,0.0,0.0,5.26,0.013,9.75,1418.9,317.0
ear_area_left,pos,250,162.3,12.27,0.0,0.0,5.26,0.048,9.75,1418.9,317.0
ear_area_left,pca,250,162.3,7.59,0.0,0.0,5.26,0.005,9.75,1418.9,317.0
ear_area_left,ica,250,161.7,8.06,0.0,0.0,5.26,0.006,9.75,1418.9,317.0
ear_area_left,green,300,195.1,55.67,0.0,0.0,4.26,0.016,11.59,1418.9,317.0
ear_area_left,g_minus_r,300,164.6,10.07,0.0,0.0,4.26,0.069,11.59,1418.9,317.0
ear_area_left,chrom,300,164.1,12.72,0.0,0.0,4.26,0.009,11.59,1418.9,317.0
ear_area_left,pos,300,164.6,10.14,0.0,0.0,4.26,0.066,11.59,1418.9,317.0
ear_area_left,pca,300,194.5,18.59,0.0,0.0,4.26,0.004,11.59,1418.9,317.0
ear_area_left,ica,300,195.1,16.19,0.0,0.0,4.26,0.005,11.59,1418.9,317.0
ear_area_left,green,350,195.7,33.11,0.0,0.0,3.71,0.011,12.28,1418.9,317.0
ear_area_left,g_minus_r,350,156.4,9.24,0.0,0.0,3.71,0.041,12.28,1418.9,317.0
ear_area_left,chrom,350,172.9,10.64,0.0,0.0,3.71,0.031,12.28,1418.9,317.0
ear_area_left,pos,350,156.4,9.3,0.0,0.0,3.71,0.048,12.28,1418.9,317.0
ear_area_left,pca,350,172.9,9.44,0.0,0.0,3.71,0.01,12.28,1418.9,317.0
ear_area_left,ica,350,195.7,13.61,0.0,0.0,3.71,0.01,12.28,1418.9,317.0
ear_area_left,green,400,221.5,8.33,0.0,0.0,3.41,0.018,11.73,1418.9,317.0
ear_area_left,g_minus_r,400,155.3,12.02,0.0,0.0,3.41,0.053,11.73,1418.9,317.0
ear_area_left,chrom,400,155.3,8.04,0.0,0.0,3.41,0.015,11.73,1418.9,317.0
ear_area_left,pos,400,155.3,12.4,0.0,0.0,3.41,0.055,11.73,1418.9,317.0
ear_area_left,pca,400,155.3,11.63,0.0,0.0,3.41,0.012,11.73,1418.9,317.0
ear_area_left,ica,400,155.9,7.4,0.0,0.0,3.41,0.004,11.73,1418.9,317.0
muzzle_area,green,0,213.3,9.23,0.0,0.0,4.4,0.049,13.33,937.9,202.0
muzzle_area,g_minus_r,0,161.7,3.29,0.0,0.0,4.4,0.179,13.33,937.9,202.0
muzzle_area,chrom,0,160.5,4.54,0.0,0.0,4.4,0.125,13.33,937.9,202.0
muzzle_area,pos,0,161.7,3.33,0.0,0.0,4.4,0.181,13.33,937.9,202.0
muzzle_area,pca,0,160.5,5.08,0.0,0.0,4.4,0.051,13.33,937.9,202.0
muzzle_area,ica,0,213.3,5.81,0.0,0.0,4.4,0.005,13.33,937.9,202.0
muzzle_area,green,50,181.1,10.58,0.0,0.0,4.16,0.051,14.41,937.9,202.0
muzzle_area,g_minus_r,50,161.1,4.61,0.0,0.0,4.16,0.185,14.41,937.9,202.0
muzzle_area,chrom,50,162.3,7.4,0.0,0.0,4.16,0.056,14.41,937.9,202.0
muzzle_area,pos,50,161.7,5.09,0.0,0.0,4.16,0.189,14.41,937.9,202.0
muzzle_area,pca,50,161.7,7.61,0.0,0.0,4.16,0.088,14.41,937.9,202.0
muzzle_area,ica,50,161.7,6.1,0.0,0.0,4.16,0.034,14.41,937.9,202.0
muzzle_area,green,100,195.1,18.3,0.0,0.0,4.88,0.038,12.22,937.9,202.0
muzzle_area,g_minus_r,100,160.0,4.49,0.0,0.0,4.88,0.12,12.22,937.9,202.0
muzzle_area,chrom,100,74.4,5.22,0.0,0.0,4.88,0.094,12.22,937.9,202.0
muzzle_area,pos,100,160.0,4.42,0.0,0.0,4.88,0.124,12.22,937.9,202.0
