method,region_id,region_label,region_kind,n,target_mae,target_rmse,range_mae,within_range_pct,median_quality_score
pca,patch_r05_c04,Patch R5 C4,patch,7,49.594,61.892,43.237,0.0,4.743
green,upper_face,Upper face,roi,7,49.657,64.05,43.3,0.0,5.12
pca,patch_r02_c01,Patch R2 C1,patch,7,49.657,62.429,43.3,0.0,4.839
chrom,patch_r03_c05,Patch R3 C5,patch,7,49.657,61.932,43.3,0.0,4.181
pca,face_full,Full face,roi,7,49.72,62.794,43.363,0.0,6.062
pca,patch_r03_c01,Patch R3 C1,patch,7,49.72,63.951,43.363,0.0,5.086
ica,patch_r01_c01,Patch R1 C1,patch,7,49.72,62.446,43.363,0.0,5.074
g_minus_r,patch_r03_c02,Patch R3 C2,patch,7,49.72,64.238,43.363,0.0,4.752
green,patch_r01_c02,Patch R1 C2,patch,7,49.72,62.664,43.363,0.0,4.65
ica,upper_face,Upper face,roi,7,49.782,62.147,43.425,0.0,5.252
ica,patch_r03_c03,Patch R3 C3,patch,7,49.783,63.438,43.425,0.0,5.005
pos,patch_r05_c02,Patch R5 C2,patch,7,49.783,62.803,43.425,0.0,4.157
g_minus_r,patch_r01_c01,Patch R1 C1,patch,7,49.783,64.387,43.426,0.0,4.263
pos,patch_r01_c05,Patch R1 C5,patch,7,49.845,62.809,43.488,0.0,4.266
pca,patch_r01_c02,Patch R1 C2,patch,7,49.908,63.156,43.551,0.0,5.201
green,mid_face,Mid face,roi,7,49.908,63.789,43.551,0.0,4.997
ica,patch_r02_c01,Patch R2 C1,patch,7,49.908,63.201,43.551,0.0,4.885
ica,patch_r01_c04,Patch R1 C4,patch,7,49.908,63.264,43.551,0.0,4.789
g_minus_r,patch_r04_c04,Patch R4 C4,patch,7,49.908,61.907,43.551,0.0,4.355
ica,patch_r02_c04,Patch R2 C4,patch,7,49.971,62.885,43.614,0.0,4.926
ica,patch_r03_c01,Patch R3 C1,patch,7,49.971,63.898,43.614,0.0,4.901
ica,patch_r04_c04,Patch R4 C4,patch,7,49.971,61.818,43.614,0.0,4.707
pca,mid_face,Mid face,roi,7,50.034,63.38,43.676,0.0,5.274
pca,patch_r04_c03,Patch R4 C3,patch,7,50.096,62.857,43.739,0.0,4.892
green,patch_r02_c01,Patch R2 C1,patch,7,50.097,62.491,43.739,0.0,4.576
pca,patch_r02_c04,Patch R2 C4,patch,7,50.159,65.676,43.802,0.0,4.799
g_minus_r,patch_r01_c02,Patch R1 C2,patch,7,50.159,62.926,43.802,0.0,4.645
pca,patch_r01_c04,Patch R1 C4,patch,7,50.222,62.944,43.865,0.0,5.209
green,patch_r04_c03,Patch R4 C3,patch,7,50.222,64.162,43.865,0.0,4.586
chrom,patch_r04_c02,Patch R4 C2,patch,7,50.348,62.994,43.99,0.0,4.308
pca,patch_r04_c01,Patch R4 C1,patch,7,50.348,63.203,43.991,0.0,4.921
green,lower_face,Lower face,roi,7,50.41,64.321,44.053,0.0,4.594
ica,patch_r04_c01,Patch R4 C1,patch,7,50.411,62.762,44.053,0.0,4.813
ica,lower_face,Lower face,roi,7,50.662,64.074,44.304,0.0,5.211
green,face_full,Full face,roi,7,50.85,64.316,44.493,0.0,5.005
pca,patch_r05_c02,Patch R5 C2,patch,7,50.85,63.615,44.493,0.0,4.866
green,patch_r03_c02,Patch R3 C2,patch,7,50.85,62.216,44.493,0.0,4.434
g_minus_r,patch_r03_c01,Patch R3 C1,patch,7,51.038,65.608,44.681,0.0,4.605
g_minus_r,patch_r04_c03,Patch R4 C3,patch,7,51.038,62.943,44.681,0.0,4.578
ica,patch_r04_c02,Patch R4 C2,patch,7,51.164,63.099,44.807,0.0,4.9
pos,patch_r03_c03,Patch R3 C3,patch,7,51.226,62.456,44.869,0.0,4.282
pos,patch_r03_c02,Patch R3 C2,patch,7,51.289,64.757,44.932,0.0,4.553
g_minus_r,patch_r03_c03,Patch R3 C3,patch,7,51.352,63.693,44.995,0.0,4.366
ica,patch_r05_c01,Patch R5 C1,patch,7,51.415,64.887,45.058,0.0,4.992
pca,patch_r04_c02,Patch R4 C2,patch,7,51.415,64.004,45.058,0.0,4.945
